key,speaker,translation
bc1b88907d3b748a,UI,音频
b3f848c2a09aa9ed,UI,音乐音量
de7b57b57b05d020,UI,音效
59a4a3f7f7caa060,UI,环境音量
31bcb8940fffb7d1,UI,游戏玩法
a874fca87cdd5e4e,UI,图形
d0db8b5e364b6989,UI,设置
28f9044138a54b95,UI,新游戏
2a6b24ad28722034,UI,制作人员
b3eb37acb66ba4bb,UI,退出
76900f1bfd16c8d4,UI,返回
6a3041fb3ecba173,UI,镜头视角
d4055fafa3794fa8,UI,分辨率
41ca171b0cbae01e,UI,屏幕亮度
42e7fdbd13ba2a01,UI,目标帧率
052810dae19607f5,UI,垂直同步
b63e857488f49396,UI,窗口模式
c461dbb2bab7d8bc,UI,全屏
4571896d8a4d4162,UI,鼠标灵敏度
43ff6e9485bf371e,UI,蹲下操作
3d03a1dea561d0db,UI,切换
91d6e30620d99810,UI,点按/长按
8e685d5409b3a543,UI,长按
6c359dddb1d4c36e,UI,提示图标类型
2316810a5de343dd,UI,键盘
0286249762f7c943,UI,自动
c77c3af22c6429b2,UI,抗锯齿
130011756125313c,UI,开
ca7981b46ecf2c17,UI,关
4883b7dfffb02e36,UI,独占全屏
da43a1983d819a4d,UI,最大化窗口
3f26603a2748fed3,UI,窗口
d640c7421da06661,UI,继续
b6dcb96448c66497,UI,加载中...
f942d1e183d020b6,UI,删除存档
ffb3c5f2edc34373,UI,暂停菜单
3e49dd16f3893026,UI,清洁
4b36f28b2cf37677,UI,泡沫
e4e9ab13fc711176,UI,污垢
c9c8bf1eae99e1dc,UI,想聊天
b98b0ff714ab5417,UI,治疗
dde8c08738fe9e59,UI,想要手交
a462b8c590652563,UI,输入文本...
31c53bea307f49d0,Alexander,在下当时正协助那位炼金术士够取高处的架子
f00ea25690e17adf,Alexander,在下听到一声巨响，伊格威克斯恐怕未能幸免。
d202075090a8960b,Alexander,在下不得不说，阁下的手艺不逊于私人洗澡师。
b8a4a2d6c54c16d8,Kobold,汪！
b6069e62e167364f,Kobold,嗯嗯，我一向尽力而为。
981447d1952fe850,Alexander,哈哈，确乃一声“汪”。
5d7279822bcee7dd,Alexander,在下的学生们该从阁下的敬业精神中学上一二！
8117291ab8529b4f,Alexander,在下实在愿再多谈，然而课程将近。
dae0c0aa3ae01c37,Alexander,……为此，在下谢过阁下。
dbca31128a900488,Alexander,晚上好。贵店接待无预约的客人，对否？
a6208f4370193b60,Kobold,接待的！您……是学院来的……？
7b999e621945fe90,Kobold,是的！
fdf9d60aca05c19e,Alexander,正是，阁下想必识得在下的纹章！在下教授炼金术。
12456a9c2599222e,Alexander,……而这门课，稍后便要开讲。
cccd2e909950ad59,Alexander,甚好。
f5b90500599eaa0a,Alexander,还请从速，学生可不会自己教自己。
26f8788d21d9fd7d,Kobold,从没给当老师的龙洗过澡……哇。
7cc55c8bb6442b93,Kobold,好的，我去开门！
c9b9bda16ee1d468,Alexander,是教授——不过，是的。在下平素不去公共洗澡场所。
8569efc4ed5a6273,Alexander,谢过阁下。
57c2b1f349d8b9e9,Alexander,哦，另外，在下为这一身污秽致歉。
da7509a323bc8646,Alexander,在下如今的处境实在令人遗憾……
550840616bc8148d,Kobold,您……没那么脏。
21e1f6bc71429bdb,Kobold,没问题。我去给您开门！
14ddfac745bc0ec3,Alexander,不，在下确实很脏。
ab5df625bc76dbd4,Alexander,……
65b94d53036df4ac,Alexander,可否请阁下开门？
f602395a77ff68c4,Kobold,哦。好。抱歉。
f8d26c6d83205a5d,Alexander,说来……此处环境颇为宜人。甚是……无产阶级。
c3971608b1a13f1b,Kobold,无产——<i><size=70%>啥？
3afdda2c098fc834,Kobold,谢谢您！
90d6678c9549b1e0,Alexander,哦，就是……劳动阶层的意思？
55c80016618e1bc5,Alexander,失礼，在下本意是说，在下很享受阁下的洗浴。
02fa2a9691178177,Alexander,当然
32e117cdd1f56f3f,Alexander,谁能想到此等场所竟如此便于公众光顾！
07874aa669e5cb8c,Alexander,若再被发现违反规章，在下的声誉便毁于一旦！
cfe73695b2bdfe19,Alexander,学院绝不能知道此事，明白否？
27b11f3f6bf12fe9,Kobold,哪个学院？
16584052fd337f09,Kobold,好的
2d3935f374b6474e,Alexander,自然是伯恩斯威克社区奇术学院！
7a5128354d6171d0,Alexander,乃是拥有在下这般声名显赫的教授的、最负盛名的学院。此人便是：
bc15783521246457,Alexander,亚历山大！
b34663a53a6541a7,Alexander,甚好。在下可不能让伯恩斯威克社区奇术学院得知，其最优秀的教授亚历山大又惹出了一起事故。
b39b95373bf40c36,Alexander,哎呀糟了，就当在下没说过！
abc1043955962614,Alexander,再度洁净如新。感谢阁下在此时接待在下。
2de23f0bdf3de327,Kobold,钱……嗯……
082cb158de32f2d9,Kobold,不客气。
374214d86f810d53,Alexander,哈，确是一种动力。
7ff22bb553842005,Alexander,至少如今不止于此了！
01b524bd7165a166,Alexander,在下从未料到会向他人吐露如此令人难堪之事。
704866fd76bd9fb8,Kobold,我随时乐意帮忙。<i><size=70%> 尤其是帮一条大龙。
dd573253630e8021,Kobold,很高兴您信任我。
d6b066332b6d8b9a,Alexander,阁下亦能从中获得乐趣，在下甚为欣慰。
762c20b866b7b263,Alexander,我也是。
5fc37d4eda289c06,Alexander,在下不解，为何与阁下交谈如此轻松。
5a2661b79c536b73,Alexander,众人的目光皆承载着巨大的重量。
0ddbb1a880fb5b54,Alexander,阁下的目光则不然。甚是舒心。
df9e3e9397757b17,Kobold,期待什么的最烦啦～。
5b4ce4081cac21b5,Kobold,只是做好我的工作！
1acd1b8d362287ec,Alexander,确实如此……
cbbaf40d803468a2,Alexander,阁下做得极好。
bd7468846a30d095,Kobold,我去给您开门。
44aa15e695b4e0d5,Alexander,谢天谢地，贵店还开着。
840851d0f7570dd9,Kobold,亚历山大……？
d786fe5166ed78b0,Kobold,呃……严格来说没开。
b5707c134254e827,Alexander,正是。在下急需清洗。情势颇为危急！
5962824d5ad2d472,Alexander,此事唯有阁下能办。
4006d568c80ab534,Alexander,在下愿付双倍。三倍——此事唯有阁下能办！
a17a2764777e0b60,Kobold,哦。那好吧，我们开着。
1e5b9c4d7c7853fa,Alexander,甚好！
e36d5a8ffbc61b8c,Kobold,发生什么事了？
c43599f1e3538c5c,Kobold,您怎么这么晚来？
c63c466c3e28f286,Alexander,在下的同僚伊格威克斯教授，欲以在下为台座。
dfb6e95e4715f76e,Alexander,在下应允了，因在下的身躯足够高大。
9da4c08f2c9d94f9,Alexander,然而……
149351e2d565febf,Alexander,他的方法出了差错。
b54a89ba26aaeaa1,Kobold,他死了！？
0ee302086c5ae61a,Kobold,他去哪儿了……？
2cc9a59ae14e4845,Alexander,什么？
3b20ece829b0bd68,Alexander,没有。
93f6d587969b0e78,Alexander,在他自燃之后，在下确保给了他隐私。
1d37ba6f405ce0fd,Alexander,他的肉身目前正在教员休息室重构。
27c227129d961114,Alexander,凡有自尊的巫师，皆随身备有凤凰羽。
9e99fec970b38818,Kobold,对。凤凰羽。当然了。
0549826a698aad1c,Kobold,好。我去开店。稍等。
9e85e9ab574cfc16,Alexander,在下忘了外行的无知。抱歉。
359439ec513e7e35,Kobold,嗯嗯，我去开门
28fa9c1bb5161161,Alexander,请速速！在下的声誉危在旦夕。
cc99c01887a9b5f1,Alexander,此番遭遇令在下深感难堪。
e33e953efb157171,Kobold,没什么大不了的。听起来大家都没事。
c054502c35602985,Kobold,不必难堪。
98cbb728e5fb19f2,Alexander,那从来不是在下的顾虑。在下乃是极为规避风险的龙。
c1d152bd1a4b22f1,Alexander,阁下此言甚是仁厚。
0da1bbeb76d9ef60,Alexander,然而，在下的<i>形象</i>远比伊格威克斯转瞬即逝的肉身更为长久。
54021b5f26568c41,Alexander,此乃在下忧虑之源……
3a363409d3ae72f1,Alexander,亦是阁下堪当此任的缘由！
2501ad553fd20454,Alexander,在下还需复活伊格威克斯，哦，何其难堪！
7b282582fab597eb,Alexander,药剂师们会玷污在下的名声数月之久。
85503a54fcc74839,Alexander,唔。那、那……颇失体面。
afa89c59eece65b9,Alexander,<size=70%><i>不过甚是舒服……谢过阁下。
